I0101 00:00:07.460472 432] [MCU] Process0x03_0x37_0x01 - TaskID=0,sendID=0,recvcount=100,walkstate=0,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:31:51.901887 432] [MCU] Process0x03_0x37_0x01 - TaskID=10027,sendID=10027,recvcount=2200,walkstate=1,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=104, wheelR=-118, Algorithm=0, Ultrasonic=0
I1211 20:31:54.400748 432] [MCU] Process0x03_0x37_0x01 - TaskID=10028,sendID=10028,recvcount=2300,walkstate=1,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=-442, wheelR=472, Algorithm=0, Ultrasonic=0
I1211 20:31:56.901391 432] [MCU] Process0x03_0x37_0x01 - TaskID=10030,sendID=10030,recvcount=2400,walkstate=1,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=-450, wheelR=454, Algorithm=0, Ultrasonic=0
I1211 20:31:59.401650 432] [MCU] Process0x03_0x37_0x01 - TaskID=10032,sendID=10032,recvcount=2500,walkstate=1,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=-200, wheelR=254, Algorithm=0, Ultrasonic=0
I1211 20:32:01.901937 432] [MCU] Process0x03_0x37_0x01 - TaskID=10034,sendID=10034,recvcount=2600,walkstate=1,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:32:04.401549 432] [MCU] Process0x03_0x37_0x01 - TaskID=10034,sendID=10034,recvcount=2700,walkstate=1,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=-210, wheelR=204, Algorithm=0, Ultrasonic=0
I1211 20:32:06.901957 432] [MCU] Process0x03_0x37_0x01 - TaskID=10036,sendID=10036,recvcount=2800,walkstate=1,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=342, wheelR=-350, Algorithm=0, Ultrasonic=0
I1211 20:32:09.401473 432] [MCU] Process0x03_0x37_0x01 - TaskID=10037,sendID=10037,recvcount=2900,walkstate=1,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=-392, wheelR=402, Algorithm=0, Ultrasonic=0
I1211 20:32:11.902076 432] [MCU] Process0x03_0x37_0x01 - TaskID=10038,sendID=10038,recvcount=3000,walkstate=1,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=330, wheelR=-308, Algorithm=0, Ultrasonic=0
I1211 20:32:14.402009 432] [MCU] Process0x03_0x37_0x01 - TaskID=10040,sendID=10040,recvcount=3100,walkstate=1,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:32:16.902050 432] [MCU] Process0x03_0x37_0x01 - TaskID=10041,sendID=10041,recvcount=3200,walkstate=1,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=-354, wheelR=354, Algorithm=0, Ultrasonic=0
I1211 20:32:19.401465 432] [MCU] Process0x03_0x37_0x01 - TaskID=10043,sendID=10043,recvcount=3300,walkstate=1,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=-294, wheelR=306, Algorithm=0, Ultrasonic=0
I1211 20:32:21.901870 432] [MCU] Process0x03_0x37_0x01 - TaskID=10045,sendID=10045,recvcount=3400,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:32:24.402212 432] [MCU] Process0x03_0x37_0x01 - TaskID=10052,sendID=10052,recvcount=3500,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:32:26.902441 432] [MCU] Process0x03_0x37_0x01 - TaskID=10061,sendID=10061,recvcount=3600,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:32:29.401554 432] [MCU] Process0x03_0x37_0x01 - TaskID=10061,sendID=10061,recvcount=3700,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:32:31.902845 432] [MCU] Process0x03_0x37_0x01 - TaskID=10061,sendID=10061,recvcount=3800,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:32:34.401791 432] [MCU] Process0x03_0x37_0x01 - TaskID=10061,sendID=10061,recvcount=3900,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:32:36.902699 432] [MCU] Process0x03_0x37_0x01 - TaskID=10061,sendID=10061,recvcount=4000,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:32:39.402606 432] [MCU] Process0x03_0x37_0x01 - TaskID=10061,sendID=10061,recvcount=4100,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:32:41.901921 432] [MCU] Process0x03_0x37_0x01 - TaskID=10061,sendID=10061,recvcount=4200,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:32:44.402388 432] [MCU] Process0x03_0x37_0x01 - TaskID=10061,sendID=10061,recvcount=4300,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:32:46.902693 432] [MCU] Process0x03_0x37_0x01 - TaskID=10061,sendID=10061,recvcount=4400,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:32:49.403326 432] [MCU] Process0x03_0x37_0x01 - TaskID=10061,sendID=10061,recvcount=4500,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:32:51.902292 432] [MCU] Process0x03_0x37_0x01 - TaskID=10061,sendID=10061,recvcount=4600,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:32:54.402318 432] [MCU] Process0x03_0x37_0x01 - TaskID=10061,sendID=10061,recvcount=4700,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:32:56.902360 432] [MCU] Process0x03_0x37_0x01 - TaskID=10061,sendID=10061,recvcount=4800,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:32:59.402441 432] [MCU] Process0x03_0x37_0x01 - TaskID=10061,sendID=10061,recvcount=4900,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:33:01.902505 432] [MCU] Process0x03_0x37_0x01 - TaskID=10061,sendID=10061,recvcount=5000,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:33:04.403625 432] [MCU] Process0x03_0x37_0x01 - TaskID=10061,sendID=10061,recvcount=5100,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:33:06.902953 432] [MCU] Process0x03_0x37_0x01 - TaskID=10061,sendID=10061,recvcount=5200,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:33:09.403429 432] [MCU] Process0x03_0x37_0x01 - TaskID=10061,sendID=10061,recvcount=5300,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:33:11.902727 432] [MCU] Process0x03_0x37_0x01 - TaskID=10061,sendID=10061,recvcount=5400,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:33:14.403538 432] [MCU] Process0x03_0x37_0x01 - TaskID=10061,sendID=10061,recvcount=5500,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:33:16.903591 432] [MCU] Process0x03_0x37_0x01 - TaskID=10061,sendID=10061,recvcount=5600,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:33:19.403218 432] [MCU] Process0x03_0x37_0x01 - TaskID=10061,sendID=10061,recvcount=5700,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:33:21.902910 432] [MCU] Process0x03_0x37_0x01 - TaskID=10061,sendID=10061,recvcount=5800,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:33:24.402963 432] [MCU] Process0x03_0x37_0x01 - TaskID=10061,sendID=10061,recvcount=5900,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:33:26.903498 432] [MCU] Process0x03_0x37_0x01 - TaskID=10061,sendID=10061,recvcount=6000,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:33:29.404043 432] [MCU] Process0x03_0x37_0x01 - TaskID=10061,sendID=10061,recvcount=6100,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:33:31.903324 432] [MCU] Process0x03_0x37_0x01 - TaskID=10061,sendID=10061,recvcount=6200,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:33:34.403239 432] [MCU] Process0x03_0x37_0x01 - TaskID=10061,sendID=10061,recvcount=6300,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:33:36.903164 432] [MCU] Process0x03_0x37_0x01 - TaskID=10061,sendID=10061,recvcount=6400,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:33:39.404342 432] [MCU] Process0x03_0x37_0x01 - TaskID=10061,sendID=10061,recvcount=6500,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:33:41.903501 432] [MCU] Process0x03_0x37_0x01 - TaskID=10061,sendID=10061,recvcount=6600,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:33:44.403896 432] [MCU] Process0x03_0x37_0x01 - TaskID=10061,sendID=10061,recvcount=6700,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:33:46.903579 432] [MCU] Process0x03_0x37_0x01 - TaskID=10061,sendID=10061,recvcount=6800,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:33:49.404274 432] [MCU] Process0x03_0x37_0x01 - TaskID=10061,sendID=10061,recvcount=6900,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:33:51.904601 432] [MCU] Process0x03_0x37_0x01 - TaskID=10061,sendID=10061,recvcount=7000,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:33:54.404412 432] [MCU] Process0x03_0x37_0x01 - TaskID=10061,sendID=10061,recvcount=7100,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:33:56.903932 432] [MCU] Process0x03_0x37_0x01 - TaskID=10061,sendID=10061,recvcount=7200,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:33:59.403841 432] [MCU] Process0x03_0x37_0x01 - TaskID=10061,sendID=10061,recvcount=7300,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:34:01.904800 432] [MCU] Process0x03_0x37_0x01 - TaskID=10061,sendID=10061,recvcount=7400,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:34:04.403987 432] [MCU] Process0x03_0x37_0x01 - TaskID=10061,sendID=10061,recvcount=7500,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:34:06.904639 432] [MCU] Process0x03_0x37_0x01 - TaskID=10061,sendID=10061,recvcount=7600,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:34:09.404233 432] [MCU] Process0x03_0x37_0x01 - TaskID=10061,sendID=10061,recvcount=7700,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:34:11.904776 432] [MCU] Process0x03_0x37_0x01 - TaskID=10061,sendID=10061,recvcount=7800,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:34:14.404522 432] [MCU] Process0x03_0x37_0x01 - TaskID=10061,sendID=10061,recvcount=7900,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:34:16.904911 432] [MCU] Process0x03_0x37_0x01 - TaskID=10061,sendID=10061,recvcount=8000,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:34:19.404654 432] [MCU] Process0x03_0x37_0x01 - TaskID=10061,sendID=10061,recvcount=8100,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:34:21.904714 432] [MCU] Process0x03_0x37_0x01 - TaskID=10061,sendID=10061,recvcount=8200,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:34:24.404983 432] [MCU] Process0x03_0x37_0x01 - TaskID=10061,sendID=10061,recvcount=8300,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:34:26.905369 432] [MCU] Process0x03_0x37_0x01 - TaskID=10061,sendID=10061,recvcount=8400,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:34:29.405403 432] [MCU] Process0x03_0x37_0x01 - TaskID=10061,sendID=10061,recvcount=8500,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:34:31.904811 432] [MCU] Process0x03_0x37_0x01 - TaskID=10061,sendID=10061,recvcount=8600,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:34:34.405292 432] [MCU] Process0x03_0x37_0x01 - TaskID=10061,sendID=10061,recvcount=8700,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:34:36.905053 432] [MCU] Process0x03_0x37_0x01 - TaskID=10061,sendID=10061,recvcount=8800,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:34:39.404808 432] [MCU] Process0x03_0x37_0x01 - TaskID=10061,sendID=10061,recvcount=8900,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:34:41.905714 432] [MCU] Process0x03_0x37_0x01 - TaskID=10061,sendID=10061,recvcount=9000,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=274, wheelR=420, Algorithm=0, Ultrasonic=0
I1211 20:34:44.404984 432] [MCU] Process0x03_0x37_0x01 - TaskID=10061,sendID=10061,recvcount=9100,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:34:46.904963 432] [MCU] Process0x03_0x37_0x01 - TaskID=10061,sendID=10061,recvcount=9200,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=136, wheelR=-124, Algorithm=0, Ultrasonic=0
I1211 20:34:49.404989 432] [MCU] Process0x03_0x37_0x01 - TaskID=10061,sendID=10061,recvcount=9300,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:34:51.905205 432] [MCU] Process0x03_0x37_0x01 - TaskID=10061,sendID=10061,recvcount=9400,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:34:54.405488 432] [MCU] Process0x03_0x37_0x01 - TaskID=10061,sendID=10061,recvcount=9500,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:34:56.905987 432] [MCU] Process0x03_0x37_0x01 - TaskID=10061,sendID=10061,recvcount=9600,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:34:59.406028 432] [MCU] Process0x03_0x37_0x01 - TaskID=10061,sendID=10061,recvcount=9700,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:35:01.906417 432] [MCU] Process0x03_0x37_0x01 - TaskID=10061,sendID=10061,recvcount=9800,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=508, wheelR=-508, Algorithm=0, Ultrasonic=0
I1211 20:35:04.405962 432] [MCU] Process0x03_0x37_0x01 - TaskID=10061,sendID=10061,recvcount=9900,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:35:06.905970 432] [MCU] Process0x03_0x37_0x01 - TaskID=10061,sendID=10061,recvcount=10000,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=476, wheelR=480, Algorithm=0, Ultrasonic=0
I1211 20:35:09.405587 432] [MCU] Process0x03_0x37_0x01 - TaskID=10061,sendID=10061,recvcount=10100,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=470, wheelR=472, Algorithm=0, Ultrasonic=0
I1211 20:35:11.905972 432] [MCU] Process0x03_0x37_0x01 - TaskID=10061,sendID=10061,recvcount=10200,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=488, wheelR=474, Algorithm=0, Ultrasonic=0
I1211 20:35:14.406774 432] [MCU] Process0x03_0x37_0x01 - TaskID=10061,sendID=10061,recvcount=10300,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
I1211 20:35:16.906404 432] [MCU] Process0x03_0x37_0x01 - TaskID=10061,sendID=10061,recvcount=10400,walkstate=2,sideState=0,version=11431, battStat=0,McuADv=0,McuADa=0,battery=80,wheelL=0, wheelR=0, Algorithm=0, Ultrasonic=0
